x,RT,40deg,60deg,65deg,67deg,69deg,72deg,75deg,80deg
2.98299,9.76208,9.58444,13.4785,13.0158,13.9777,14.7026,15.7621,16.006,16.4966
2.99626,9.829,9.62029,13.6059,12.974,13.9359,14.7361,15.8457,16.1524,16.6466
3.0051,9.87361,9.64418,13.6909,12.9071,13.908,14.7584,15.9015,16.25,16.7466
3.01837,9.94052,9.68003,13.8184,12.8067,13.8662,14.7584,15.9851,16.3964,16.8966
3.02279,9.96283,9.69198,13.8609,12.7732,13.8522,14.7584,15.9975,16.4452,16.9465
3.03163,9.98513,9.71588,13.9458,12.7063,13.8243,14.7584,16.0223,16.5428,17.0465
3.04048,10.0074,9.73978,14.0308,12.6394,13.7965,14.7584,16.0471,16.6097,17.1465
3.0449,10.0186,9.75173,14.0733,12.5836,13.7825,14.7584,16.0595,16.6431,17.1965
3.05374,10.0409,9.77562,14.1583,12.4721,13.7546,14.6975,16.0843,16.71,17.2965
3.05816,10.052,9.78757,14.2007,12.4164,13.704,14.6671,16.0967,16.7435,17.3465
3.06701,10.0743,9.81147,14.2594,12.3048,13.6026,14.6063,16.0967,16.8104,17.4465
3.07585,10.0991,9.83537,14.3181,12.1933,13.5012,14.5455,16.0967,16.8773,17.5465
3.10238,10.1735,9.90706,14.4942,11.6914,13.197,14.363,16.0967,17.0112,17.6803
3.1068,10.1859,9.91901,14.5236,11.6078,13.1014,14.3325,16.0855,17.0335,17.7026
3.11122,10.2056,9.93096,14.5529,11.5242,13.0058,14.3021,16.0743,17.0558,17.7249
3.12007,10.2449,9.95486,14.6116,11.2887,12.8147,14.2413,16.052,17.1004,17.7695
3.13333,10.304,9.99071,14.6997,10.9356,12.5279,14.1501,16.0186,17.1004,17.8439
3.14218,10.3433,10.0146,14.7584,10.7001,12.3327,14.0892,15.9963,17.1004,17.8934
3.1466,10.363,10.0266,14.7862,10.5824,12.2351,14.0056,15.9851,17.1004,17.9182
3.15986,10.422,10.0624,14.8699,10.2292,11.9424,13.7546,15.8364,17.1004,17.9926
3.16429,10.4417,10.0743,14.8978,10.1115,11.8448,13.671,15.7869,17.1004,18.0037
3.16871,10.4614,10.0909,14.9257,9.9938,11.7472,13.5874,15.7373,17.0756,18.0149
3.17755,10.5008,10.1241,14.9814,9.75836,11.4286,13.4201,15.6382,17.026,18.0372
3.18639,10.5401,10.1572,15.0372,9.52292,11.1099,13.2289,15.539,16.9765,18.0595
3.19082,10.5598,10.1738,15.0651,9.4052,10.9506,13.1333,15.4972,16.9517,18.0706
3.20408,10.6188,10.2236,15.1487,8.80297,10.4727,12.8465,15.3717,16.8773,18.1041
3.2085,10.6385,10.2401,15.1766,8.60223,10.3133,12.7509,15.3299,16.8278,18.0818
3.21293,10.6582,10.2567,15.2045,8.40149,10.154,12.6235,15.2881,16.7782,18.0595
3.22177,10.6976,10.2899,15.1873,8.04461,9.83537,12.3686,15.2045,16.6791,18.0149
3.23061,10.7369,10.323,15.1701,7.68773,9.51673,12.1136,15.0037,16.5799,17.9703
3.23503,10.7566,10.3396,15.1616,7.50929,9.31599,11.9862,14.9033,16.5304,17.948
3.23946,10.7763,10.3562,15.153,7.30855,9.11524,11.8587,14.803,16.4808,17.9257
3.24388,10.796,10.3728,15.1444,7.10781,8.9145,11.67,14.7026,16.4312,17.9033
3.2483,10.8157,10.3893,15.1358,6.90706,8.71375,11.4813,14.6022,16.3445,17.881
3.25272,10.8353,10.4059,15.1273,6.70632,8.51301,11.2925,14.5019,16.2577,17.8315
3.25714,10.855,10.4225,15.1187,6.50558,8.31227,11.1038,14.4015,16.171,17.7819
3.26599,10.8944,10.4556,15.1015,6.00372,7.91078,10.7263,14.2007,15.9975,17.6828
3.27041,10.9141,10.4722,15.0929,5.75279,7.71004,10.5376,14.0892,15.9108,17.6332
3.27483,10.9337,10.4888,15.0682,5.50186,7.50929,10.3489,13.9777,15.824,17.5836
3.28367,10.9731,10.522,15.0186,5,7.00743,9.9714,13.7546,15.6506,17.4845
3.2881,10.9928,10.5385,14.9938,4.74907,6.75651,9.78267,13.6431,15.5492,17.4349
3.29252,11.0125,10.5551,14.969,4.49814,6.50558,9.59394,13.5316,15.4478,17.3513
3.29694,11.0321,10.5717,14.9442,4.24721,6.171,9.4052,13.4201,15.3464,17.2677
3.30578,11.0715,10.6048,14.8947,3.74535,5.50186,8.90335,13.0186,15.1436,17.1004
3.3102,11.0912,10.6214,14.8699,3.49442,5.25093,8.65242,12.8178,15.0422,17.0167
3.31463,11.1109,10.638,14.8079,3.21561,5,8.40149,12.6171,14.9409,16.9331
3.31905,11.1305,10.6546,14.746,2.9368,4.74907,8.15056,12.4164,14.8395,16.8494
3.32347,11.1502,10.6712,14.684,2.65799,4.49814,7.89963,12.2172,14.7381,16.7658
3.32789,11.1699,10.6877,14.6221,2.37918,4.24721,7.6487,12.0181,14.6367,16.6543
3.33231,11.1896,10.7043,14.5601,2.12825,3.99628,7.39777,11.8189,14.5353,16.5428
3.34116,11.229,10.7375,14.4362,1.62639,3.49442,6.89591,11.4206,14.1338,16.3197
3.34558,11.2486,10.754,14.3742,1.37546,3.12268,6.64498,11.2215,13.9331,16.2082
3.35,11.2683,10.7706,14.3123,1.12454,2.75093,6.39405,11.0223,13.7323,16.0967
3.35442,11.288,10.7872,14.2454,0.873606,2.37918,6.11524,10.8232,13.5316,15.9851
3.36327,11.3274,10.8204,14.1115,0.371747,1.59851,5.55762,10.4249,13.1134,15.6877
3.36769,11.347,10.8369,14.0446,-2.2482e-14,1.20818,5.27881,10.2257,12.9043,15.539
3.38095,11.4061,10.8867,13.8439,-1.11524,0.0371747,4.27509,9.62825,12.277,15.0929
3.3898,11.4454,10.9198,13.71,-1.85874,-0.743494,3.5316,9.12639,11.8587,14.619
3.39422,11.4651,10.9364,13.6431,-2.23048,-1.11524,3.15985,8.87546,11.6357,14.382
3.39864,11.4848,10.953,13.4997,-2.60223,-1.48699,2.82528,8.62454,11.4126,14.145
3.40306,11.5045,10.9696,13.3563,-2.97398,-1.85874,2.49071,8.25279,11.1896,13.908
3.40748,11.5242,10.9861,13.213,-3.34572,-2.23048,2.15613,7.88104,10.9665,13.671
3.4119,11.5438,11.0027,13.0696,-3.71747,-2.60223,1.78439,7.50929,10.7435,13.434
3.41633,11.5635,11.0193,12.9262,-4.08922,-2.97398,1.41264,7.17472,10.5204,13.197
3.42075,11.5832,11.0359,12.7828,-4.46097,-3.42007,1.04089,6.84015,10.223,12.974
3.42517,11.6029,11.0524,12.6394,-4.83271,-3.86617,0.70632,6.50558,9.92565,12.7509
3.42959,11.6226,11.069,12.496,-5.20446,-4.31227,0.371747,6.13383,9.62825,12.5279
3.43401,11.6422,11.0856,12.3526,-5.50355,-4.75836,0.0371747,5.76208,9.29368,12.3048
3.43844,11.6619,11.1022,12.2092,-5.80264,-5.09294,-0.334572,5.39033,8.95911,12.0818
3.44286,11.6816,11.1188,12.0659,-6.10172,-5.42751,-0.70632,5.05576,8.62454,11.8587
3.44728,11.7013,11.1353,11.9225,-6.40081,-5.76208,-1.07807,4.72119,8.25279,11.6357
3.4517,11.721,11.1519,11.7791,-6.6999,-6.09665,-1.63569,4.38662,7.88104,11.4126
3.45612,11.7407,11.1685,11.6357,-6.99899,-6.43123,-2.19331,4.01487,7.50929,11.1896
3.46054,11.7603,11.1851,11.4572,-7.29807,-6.7658,-2.52788,3.64312,7.17472,10.9665
3.46497,11.78,11.2016,11.2788,-7.59716,-7.10037,-2.86245,3.27138,6.84015,10.6877
3.46939,11.7997,11.2182,11.1004,-7.89625,-7.47212,-3.19703,2.9368,6.50558,10.4089
3.47823,11.8391,11.2514,10.7435,-8.49442,-8.21561,-3.94052,2.26766,5.94796,9.8513
3.48265,11.8587,11.268,10.5204,-8.79351,-8.5854,-4.31227,1.89591,5.66914,9.57249
3.48707,11.8922,11.2845,10.2974,-9.0926,-8.95519,-4.86989,1.52416,5.39033,9.29368
3.4915,11.9257,11.3011,10.0743,-9.39169,-9.32499,-5.42751,1.15242,4.83271,8.88476
3.49592,11.9591,11.3123,9.8513,-9.69077,-9.69478,-5.92937,0.594796,4.27509,8.47584
3.50034,11.9926,11.3234,9.62825,-9.98986,-10.0646,-6.43123,0.0371747,3.94052,8.06691
3.50918,12.0595,11.3457,9.12639,-10.588,-10.8041,-7.17472,-0.63197,3.27138,7.32342
